"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/18/2007","AQS","060130002","1","3","ppb","4","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/19/2007","AQS","060130002","1","8","ppb","11","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/20/2007","AQS","060130002","1","6","ppb","9","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/21/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/22/2007","AQS","060130002","1","4","ppb","6","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/23/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/24/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/25/2007","AQS","060130002","1","15","ppb","21","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/26/2007","AQS","060130002","1","4","ppb","6","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/27/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/28/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/29/2007","AQS","060130002","1","2","ppb","3","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/31/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/01/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/02/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/03/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/04/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/05/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/06/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/07/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/08/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/09/2007","AQS","060130002","1","0","ppb","0","Concord","20","83.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/10/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/11/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/12/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/13/2007","AQS","060130002","1","7","ppb","10","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/14/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/15/2007","AQS","060130002","1","1","ppb","1","Concord","20","83.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/16/2007","AQS","060130002","1","5","ppb","7","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/17/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/18/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/19/2007","AQS","060130002","1","3","ppb","4","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/20/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/21/2007","AQS","060130002","1","0","ppb","0","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/22/2007","AQS","060130002","1","0","ppb","0","Concord","20","83.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/23/2007","AQS","060130002","1","1","ppb","1","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/24/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/25/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/26/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/27/2007","AQS","060130002","1","0","ppb","0","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/28/2007","AQS","060130002","1","0","ppb","0","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/01/2007","AQS","060130002","1","0","ppb","0","Concord","20","83.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/02/2007","AQS","060130002","1","6","ppb","9","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/03/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/04/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/05/2007","AQS","060130002","1","7","ppb","10","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/06/2007","AQS","060130002","1","4","ppb","6","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/07/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/09/2007","AQS","060130002","1","1","ppb","1","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/10/2007","AQS","060130002","1","6","ppb","9","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/11/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/12/2007","AQS","060130002","1","6","ppb","9","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/13/2007","AQS","060130002","1","19","ppb","27","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/14/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/15/2007","AQS","060130002","1","8","ppb","11","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/16/2007","AQS","060130002","1","10","ppb","14","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/17/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/18/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/19/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/20/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/21/2007","AQS","060130002","1","4","ppb","6","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/22/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/23/2007","AQS","060130002","1","8","ppb","11","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/24/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/25/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/26/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/27/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/28/2007","AQS","060130002","1","5","ppb","7","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/29/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/30/2007","AQS","060130002","1","13","ppb","19","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/31/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/01/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/02/2007","AQS","060130002","1","8","ppb","11","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/03/2007","AQS","060130002","1","6","ppb","9","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/04/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/05/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/06/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/07/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/08/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/09/2007","AQS","060130002","1","0","ppb","0","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/10/2007","AQS","060130002","1","3","ppb","4","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/11/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/12/2007","AQS","060130002","1","2","ppb","3","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/13/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/14/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/15/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/16/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/17/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/18/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/19/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/20/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/21/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/22/2007","AQS","060130002","1","0","ppb","0","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/23/2007","AQS","060130002","1","6","ppb","9","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/24/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/25/2007","AQS","060130002","1","0","ppb","0","Concord","21","88.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/26/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
