"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"07/12/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/13/2002","AQS","060270004","4","25","ug/m3 SC","23","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/14/2002","AQS","060270004","4","20","ug/m3 SC","19","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/15/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/16/2002","AQS","060270004","4","33","ug/m3 SC","31","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/17/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/18/2002","AQS","060270004","4","15","ug/m3 SC","14","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/19/2002","AQS","060270004","4","14","ug/m3 SC","13","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/20/2002","AQS","060270004","4","17","ug/m3 SC","16","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/21/2002","AQS","060270004","4","14","ug/m3 SC","13","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/22/2002","AQS","060270004","4","36","ug/m3 SC","33","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/23/2002","AQS","060270004","4","110","ug/m3 SC","78","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/24/2002","AQS","060270004","4","109","ug/m3 SC","78","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/25/2002","AQS","060270004","4","64","ug/m3 SC","55","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/26/2002","AQS","060270004","4","76","ug/m3 SC","61","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/27/2002","AQS","060270004","4","91","ug/m3 SC","69","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/28/2002","AQS","060270004","4","34","ug/m3 SC","31","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
